Прогноз погоды на сутки - Нижний Новгород
| №   | Дата/время         | Температура  | Осадки (mm)  |
|-----|--------------------|--------------|--------------|
| 1   | 2026-05-16T00:00   | 17.0       °C | 0.0        mm |
| 2   | 2026-05-16T01:00   | 16.5       °C | 0.0        mm |
| 3   | 2026-05-16T02:00   | 16.4       °C | 0.0        mm |
| 4   | 2026-05-16T03:00   | 15.9       °C | 0.0        mm |
| 5   | 2026-05-16T04:00   | 15.6       °C | 0.0        mm |
| 6   | 2026-05-16T05:00   | 15.3       °C | 0.0        mm |
| 7   | 2026-05-16T06:00   | 16.0       °C | 0.0        mm |
| 8   | 2026-05-16T07:00   | 18.1       °C | 0.0        mm |
| 9   | 2026-05-16T08:00   | 19.7       °C | 0.0        mm |
| 10  | 2026-05-16T09:00   | 21.7       °C | 0.0        mm |
| 11  | 2026-05-16T10:00   | 23.3       °C | 0.0        mm |
| 12  | 2026-05-16T11:00   | 24.4       °C | 0.0        mm |
| 13  | 2026-05-16T12:00   | 25.4       °C | 0.0        mm |
| 14  | 2026-05-16T13:00   | 26.4       °C | 0.0        mm |
| 15  | 2026-05-16T14:00   | 27.3       °C | 0.0        mm |
| 16  | 2026-05-16T15:00   | 27.0       °C | 0.0        mm |
| 17  | 2026-05-16T16:00   | 27.0       °C | 0.0        mm |
| 18  | 2026-05-16T17:00   | 26.3       °C | 0.0        mm |
| 19  | 2026-05-16T18:00   | 25.7       °C | 0.0        mm |
| 20  | 2026-05-16T19:00   | 24.2       °C | 0.0        mm |
| 21  | 2026-05-16T20:00   | 22.2       °C | 0.0        mm |
| 22  | 2026-05-16T21:00   | 19.9       °C | 0.0        mm |
| 23  | 2026-05-16T22:00   | 18.7       °C | 0.0        mm |
| 24  | 2026-05-16T23:00   | 17.9       °C | 0.0        mm |
|-----|--------------------|--------------|--------------|
